,Description,Platform,Price,Product
1666,Play 702 different holes in this exciting 3D golf game.,Mac,Free to try,GL Golf
1667,Correct multiplayer bugs and game balance in Jedi Knight II: Jedi Outcast.,Windows,Free,Jedi Knight II: Jedi Outcast 1.04 patch
1668,"Create your own army of lethal, totally obedient creatures.",Mac,Free to try,Geneforge
1669,Reveal hidden pictures by solving puzzles.,Windows,Free to try,Fun Factory
1670,Check out the finest hour mod for Command and Conquer: Generals Zero Hour.,Windows,Free,Command & Conquer: Generals Zero Hour The Finest Hour mod
1671,Summon creatures and cast spells to reduce your opponent's life.,Windows,Free to try,Astral Tournament
1672,"Play online versions of Final Fantasy's Triple Triad, Chinchirorin, and Team Triple Triad.",Windows,Free,Triple Triad Extreme
1673,Start hacking your Halo maps with this tool.,Windows,Free,Halo: Combat Evolved HHHT Utility
1674,Pilot one of ten deadly helicopters through three levels of aerial warfare.,Windows,Free to try,Air Strike 2
1675,Rediscover the fun of mah-jongg on your PC.,Windows,Free to try,Shanghai: Second Dynasty demo
1676,Run your own wrestling promotion with fully interactive 3D matches.,Windows,Free,Wrestling MPire Remix: Management Edition
1677,Help Meat Boy find his way to Band-Aid girl.,Windows,Free,Meat Boy 
1678,Decimate the Legions of the Fallen in this robust role-playing game.,Windows,Free to try,Crusaders of Might and Magic demo
1679,Race stock cars at blindingly fast speeds.,Windows,Free to try,Jeff Gordon XS Racing demo
1680,"Watch the trailer for this ""Star Wars"" RPG.",Windows,Free,Star Wars: Knights of the Old Republic trailer
1681,Command vintage racers in this classic-car sim.,Windows,Free to try,GT Legends demo
1682,"Get the social bunny, female supervillain, and more with this skin pack for The Sims 2.",Windows,Free,The Sims 2 Unlocked Outfits skin pack
1683,Defend cities from a shower of alien missiles in this updated version of a classic game.,Windows,Free to try,Missile Command
1684,Climb inside a giant Combot and battle against your two brothers for ancient alien technology.,Windows,Free to try,Metal Fatigue demo
1685,Begin KOTOR as a Jedi with this mod.,Windows,Free,Star Wars: Knights of the Old Republic 1.3 Padawan Mod
1686,Generate the recommended pool of lottery balls to play based on the latest trends and patterns.,Windows,Free,Magayo Lotto
1687,Manage football game strategies with the possibility to change things during the game.,Windows,Free,Strategic Soccer
1688,Destroy the asteroids before they hit the Earth.,Mac,Free,Asteroid Storm
1689,Launch into wave after wave of relentless blasting action.  ,Windows,Free,Pozitron 2600
1690,Help the innocent lemmings reach safety.,Windows,Free to try,3D Lemmings demo
1691,Fly the SU-27 Flanker fighter plane.,Windows,Free to try,Su-27 Flanker Win95 demo
1692,Check out NHL hockey action.,Windows,Free to try,NHL '96 demo
1693,Incorporate anime into Quake III: Arena with this total-conversion mod.,Windows,Free,Quake III Arena Bid for Power Mod
1694,Add an extra hole to your 3D Ultra Mini Golf demo.,Windows,Free to try,3D Ultra Mini Golf The Incredible Machine hole
1695,Take command of your destiny.,Windows,Free to try,Wing Commander IV demo
1696,Play a 3D action street basketball game.,Windows,Free,FreeStyle2 Street Basketball
1697,Join the battle on Guadalcanal with this multiplayer demo.,Windows,Free to try,Medal of Honor Pacific Assault multiplayer demo
1698,Blast apart other tanks and take their power core.,Windows,Free to try,Wild Metal Country demo
1699,Create interactive puzzles and upload them to Web to play and solve online. ,Windows,Free to try,Word Search Construction Kit
1700,Play five different card games in one on your Windows 8 device.,Windows,Free,Microsoft Solitaire Collection for Windows 8
1701,Grab this ten-pack of maps for Halo Custom Edition.,Windows,Free,Halo: Combat Evolved Custom Edition 10-pack
1702,Update your copy of Borderlands to v1.01.,Windows,Free,Borderlands
1703,Capture earthlings in this arcade game.,Windows,Free,UFO III
1704,Add a retro court of Sacramento's Arco Arena in NBA Live 2001.,Windows,Free,NBA Live 2001 - Arco Arena
1705,Travel the universe in an open-ended sci-fi adventure.,Windows,Free to try,Escape Velocity Nova installer
1706,Play various games on your computer.,Windows,Free,6000 Free Games for Vista - Gadget
1707,Challenge the masters of darts in 13 tournaments.,Windows,Free to try,On the Oche 3D Arcade Darts
1708,Solitaire card game.,Windows,Free,Klondike Solitaire
1709,Update your retail version of Rome: Total War to version 1.1.,Windows,Free,Rome: Total War patch
1710,Control 5-ton trucks at 160 mph with this superheavy racer.,Windows,Free to try,Rig Racer 2 demo
1711,Play a game as a hacker with company or organization passwords to crack.,Mac,Free to try,Hacker X-8.9
1712,DASH as fast as you can.,Windows,Free,Subway Surfers for Windows 10
1713,Generate random scalable dungeons and other levels for games such as Advanced Dungeons & Dragons.,Windows,Free to try,MapMage
1714,update for the visually stunning dinosaur 3D game,Mac,Purchase,Nanosaur
1715,One of the most addictive and entertaining physics based driving game ever made.,Android,Free,Hill Climb Racing
1716,Engage enemies in multiple attack sites across the globe.,Windows,$39.99,Call of Duty: Modern Warfare 3
1717,Update Earth's Special Forces to v1.2.1 with this patch.,Windows,Free,Half-Life Earth's Special Forces mod
1718,Upgrade your KOTOR save game editor to v1.3.3 with this patch.,Windows,Free,Star Wars: Knights of the Old Republic Savegame Editor v1.3.3 Utility
1719,Add cities and roads to Euro Truck Simulator.,Windows,Free,Euro Truck Simulator v1.2 Patch
1720,Take on the tough roads with six of the hottest driving chix in a game.,Windows,Free to try,Hot Chix 'n' Gear Stix
1721,Update your Jane's Fleet Command game with this install patch.,Windows,Free,Jane's Fleet Command Windows 2000/XP Install Patch
1722,Compose unique words from a given set of letters.,Windows,Free to try,WordZap Deluxe
1723,Master this cyberpunk based game of strategy and money making.   ,Windows,Free to try,Tokyo War
1724,Explore a shadowy underground complex to find the truth of your father's disappearance in this horror action game.,Windows,Free to try,Penumbra: Black Plague demo
1725,Lead the charge on d-day in the largest allied invasion of ww2.,Android,Free,Frontline Commando: D-day
1726,Rev up those engines and get ready for an international race.,Windows,Free to try,International Rally Championship D3D demo
1727,Guide a rabbit with martial arts skills on a quest to destroy those who slaughtered his village.,Windows,Free to try,Lugaru HD
1728,"Command Union or Confederate troops on a detailed, 3D battlefield.",Windows,Free to try,Sid Meier's Antietam demo
1729,"Increase the speed of the Infernus to over 9,999 km/h.",Windows,Free,Grand Theft Auto: Vice City - Infernus mod
1730,"Modify your Quake III experience with new weapons, new runes, and a new feel.",Windows,Free,Quake III: Requiem Mod
1731,Transport passengers and cargo between the stars and compete against AI opponents.,Windows,Free to try,Starship Tycoon
1732,Place letters on a board to form interlocking words.,Windows,Free to try,CrossCraze
1733,DASH as fast as you can.,Windows,Free,Subway Surfers for Windows 10
1734,Get back to Vice City.,Android,$4.99,Grand Theft Auto: Vice City
1735," Hone your hunting skills in pursuit of the deer, turkey, and pheasant.",Windows,Free to try,Ultimate Hunt Challenge demo
1736,Get this script to simplify your Counter-Strike experience.,Windows,Free,Half-Life: Counter-Strike AutoScript Utility
1737,"Collect, create, and control the many aspects of a working railroad.",Windows,Free to try,Trainz demo
1738,Strike against obstacles with your dodging accomplices in the most daring chase.,Android,Free,Subway Surfers
1739,"Browse a short tale about the remembrance of love, sorrow, and truth.",Windows,Free,True Remembrance
1740,Complete 300 levels through 6 fun themes in a game for a sharp eye and a good memory.,Mac,Free,Mahjong In Poculis
1741,Salvage resources on the surface of the ravaged earth.,Windows,Free to try,KKnD 
1742,Update your copy of Football Manager 2010 to v10.2.0.,Windows,Free,Football Manager 2010
1743,Hop inside a giant battlemech and challenge your friends online.,Windows,Free to try,MechWarrior 3 multiplayer demo
1744,Match all pairs of cards within given time.,Windows,$10.00,Absolute Memory
1745,Help Captain Bumper free a princess held prisoner on a mysterious planet.,Mac,Free to try,Captain Bumper
1746,Play arcade-style pinball complete with table nudging.,Windows,Free to try,Full Tilt 2 Pinball Windows 3.1 demo
1747,"Take flight with this state-of-the-art, photo-realistic, air combat sim.",Windows,Free to try,Flanker demo
1748,Grab the small demo for Worldwide Soccer Manager here.,Windows,Free to try,Worldwide Soccer Manager 2006 demo (small)
1749,Play a multiplayer online war game.,Windows,Free,Terra: Battle for the Outland
1750,"Display in-game auction data such as pricing, total items, and uses.",Windows,Free,World of Warcraft Auctioneer mod
1751,Play an Arkanoid-style game in 3D.,Windows,Free to try,Alpha Ball
1752,Control funny cartoon characters and play soccer.,Windows,Free to try,Goofy Soccer
1753,Enjoy this adventure game on your desktop.,Windows,Free,Cult II: Federal Crime
1754,Play PC version of popular TV show.,Windows,Free to try,Deal or No Deal
1755,Update Lock On: Modern Air Combat from version 1.00 to 1.02 with this patch.,Windows,Free,Lock On: Modern Air Combat v1.00 to v1.02 patch
1756,Get two new multiplayer maps and some fixes.,Windows,Free,Call of Duty patch
1757,Play authentic Vegas-style casino games with 3D graphics.,Windows,Free to try,Las Vegas Super Casino 2003
1758,Play as six top world club teams in the latest soccer sim from EA.,Windows,Free to try,FIFA Soccer 10 demo
1759,Check out Painkeep Arena v3.0 for some intense deathmatch action.,Windows,Free,Quake III Arena Painkeep Arena 3.0 Full Install
1760,Catch a glimpse of the chaos to come in Warcraft III.,Mac,Free,Warcraft III Trailer
1761,Bring baseball greats to life in this exciting sports game.,Windows,Free to try,Aaron vs. Ruth demo
1762,"Police Scanner 5-0 brings you more than 5, 000 police, fire, rescue and other radio feeds over 3G or WiFi.",Android,Free,Police Scanner 5-0 (FREE)
1763,Establish your own casino in 1970's Las Vegas.,Windows,Free to try,"Casino, Inc."
1764,"Battle it out in this juicy, new turn-based strategy game.",Windows,Free to try,"Warhammer 40,000: Rites of War demo"
1765,Transform Vice City into a stunter's playground with this map.,Windows,Free,Grand Theft Auto: Vice City Cudda World Map
1766,Slash and splatter fruit like a true ninja warrior.,Android,$1.19,Fruit Ninja
1767,"Solve SuDoku puzzles, learn, and improve your skills.",Windows,Free,Gwerdy SuDoku Solver
1768,"Kick, punch, jump, and slash in the video game with a mix of RPG and classical fighting.",iOS,Free,Shadow Fight 2
1769,Play a high-octane racing game with single or multiple players.,Windows,Free to try,eRacer updated demo
1770,Add a whole new gameplay element in Black & White.,Windows,Free,Black & White 1.3 patch
1771,Uncover a dark conspiracy in this action game.,Windows,Free to try,Adrenix
1772,Run your game development studio for over 30 years in fully interactive 3D.,Windows,Free,Under Development
1773,Destroy any asteroids that get in your way as you make your way back to Earth.,Windows,Free,Intergalactic Suicide
1774,Live your zombie fantasies with this mod for Call of Duty 2.,Windows,Free,Call of Duty 2 Zombies with Guns mod
1775,Slam the pedal to the metal to guide your hero to the top of a global racing career.,Windows,Free to try,Pro Race Driver multiplayer demo
1776,Watch out for nasty soap scum while maneuvering bubbles. ,Windows,Free to try,DynoTech Software Bubbles
1777,Play a Super Mario Bros with old fashion game characters.,Windows,Free,Super Mario Crossover
1778,Save your family and take control of the streets.,Android,$6.99,Grand Theft Auto: San Andreas
1779,"Combine RTS elements, such as base building, resource management, and full-on combat, in a war between three different races.",Windows,Free to try,Giants: Citizen Kabuto Reaper demo
1780,Explore an infinite variety of ultimate virtual 3D worlds powered by your imagination.,iOS,Free,ROBLOX
1781,Rebuild your empire in this hilarious strategy game.,Windows,Free to try,Beasts & Bumpkins demo
1782,Navigate your ship from planet to planet to reach your home galaxy.,Windows,Free to try,Ploing2
1783,Lead your own squadron in WWII air combat.,Windows,Free to try,Over the Reich large demo
1784,Pilot a ship through battlespace as you attack a tenacious enemy.,Windows,Free to try,Attack-Attack
1785,Embark on a bio-metal technology salvage operation.,Windows,Free to try,Battlezone: The Red Odyssey demo
1786,Return to the dawn of The New World in an epic saga of adventure and discovery.,Windows,Free to try,1503 A.D. - The New World demo
1787,Do your best to bring your act to the top of the pops.,Windows,Free,Popscene
1788,Try the Freedom Force sequel with this demo.,Windows,Free to try,Freedom Force vs. The Third Reich demo
1789,Command and control a military battlecruiser.,Windows,Free to try,Battlecruiser 3000 A.D.
1790,Add Goku from Dragonball Z to The Sims.,Windows,Free,The Sims - Goku skin
1791,Escape from Soviet forces after being unfairly sentenced to a Siberian prison camp.,Windows,Free to try,Cold War demo
1792,Help purple creatures defy gravity by solving 2D and 3D puzzles.,Windows,Free to try,Buboids - The 3D Action Puzzle Game
1793,"Update Warhammer 40,000: Dawn of War to version 1.01 with this patch.",Windows,Free,"Warhammer 40,000: Dawn of War v1.01 patch"
1794,Take on the role of a homeless man saving Angelinos in crisis.,Windows,Free to try,American McGee Presents: Bad Day L.A. demo
1795,Lead Axis or Allied troops in battles in Normandy.,Windows,Free to try,Close Combat: Invasion Normandy demo
1796,Join the MageSlayers in their quest to rescue ancient relics.,Windows,Free to try,MageSlayer demo
1797,The Ultimate One-on-One Artillery Game - Now with cross-platform WiFi and Online Play.,iOS,$4.99,Pocket Tanks Deluxe
1798,Add more than 150 new creatures to Morrowind.,Windows,Free,The Elder Scrolls III: Morrowind Giants: Ultimate mod
1799,Swap balls to match them in threes.,Windows,Free,Santa Balls 2
1800,Build your own pinball game.,Windows,Free to try,Pinball Builder demo
1801,Use your abilities to outwit hunters in this sporting parody.,Windows,Free to try,Deer Avenger 4 demo
1802,Fix server troubles in the Battlefield 1942 demo.,Windows,Free,Battlefield 1942 1.1 multiplayer demo patch
1803,Destroy mutants in a time warp.,Windows,Free to try,Chasm demo
1804,Solve problems as a manager of a new space station.,Windows,Free to try,Space Station Manager
1805,Try out the IL-2 expansion Rebirth of Honor with this demo.,Windows,Free to try,IL-2 Sturmovik Forgotten Battles: Rebirth of Honor demo
1806,Fix a crashing bug and improve loading times.,Windows,Free,Max Payne 2 1.01 patch
1807,Immerse yourself in an interactive fantasy world.,Windows,Free to try,Dungeon Master II demo
1808,Help Mendel escape Galapagos in this game featuring advanced AI.,Windows,Free to try,Galapagos demo
1809,Become an expert player and get unlimited coins.,Android,Free,Plants vs Zombies 2 Game Cheats
1810,Experience a realistic simulation of real-life racing.,Windows,Free to try,Dirt Track Racing Australian demo
1811,Save the planet from an evil alien race.,Windows,Free to try,Incoming demo
1812,Manage a soccer team big time.,Windows,Free to try,Football Manager
1813,"Experience flying gliders, planes, and helicopters.",Windows,Free to try,RC Flight Master
1814,Pile up the remnants of your enemies to escape a giant box in this unique fighting game.,Windows,Free,Rumble Box: Tournament Edition
1815,Help Kao the Kangaroo get back to his home in Australia by punching and kicking all the bad guys in his way.,Windows,Free to try,KAO the Kangaroo demo
1816,Experience space combat in the Babylon 5 universe.,Windows,Free,The Babylon Project DVD
1817,Play chess against the eight-time World Computer Chess champion.,Windows,Free to try,Shredder Classic
1818,Fight against hundreds of troopers to survive on an island.,Windows,Free,Sure Shot 3D
1819,Play a great new twist on the traditional Yahtzee dice game.,Windows,Free,Yahtzee
1820,Help Riddick begin his escape from a fortified prison complex.,Windows,Free to try,The Chronicles of Riddick: Escape From Butcher Bay demo
1821,Play mahjong on your PC alone or with friends.,Windows,Free to try,Ultimate Mahjong
1822,Play and customize a Freecell game with different features.,Windows,Free to try,Freecell 2006
1823,Bring freedom to Iraq on the wings of your F/A-18 Hornet plane.,Windows,Free to try,F/A-18 Operation Iraqi Freedom demo
1824,Venture into the shadows of Mirkwood forest as the hobbit Bilbo Baggins.,Windows,Free to try,The Hobbit
1825,"Experience high-end, fast-moving arcade auto racing in this sequel.",Windows,Free to try,Screamer 2 demo
1826,Battle the enemy in this 3D strategy tank sim.,Windows,Free to try,Force 21 demo
1827,Give Tommy Vercetti his own private island with this map.,Windows,Free,Grand Theft Auto: Vice City Tommy's Private Island Map
1828,Guide Lara Croft through lost civilizations and fast 3D action.,Windows,Free to try,Tomb Raider Matrox Mystique demo
1829,Play a full 3D game of Ping-Pong against intelligent opponents.,Mac,Free,Table Tennis Pro
1830,Engage in a deathmatch with the deadliest of the deadly.,Windows,Free to try,Daikatana deathmatch demo
1831,Get a coloring book with sounds for your children.,Windows,Free,Children coloring book
1832,Get in the seat of an air traffic controller at a major international airport.,Windows,Free to try,Air Command
1833,Help sonic survive through all the stages to win the game.,Windows,Free,Sonic Zone
1834,Update ET Pro to v3.0.1 with this mod.,Windows,Free,Return to Castle Wolfenstein: Enemy Territory ET Pro v3.0.1 Mod
1835,Dash across the galaxy to save Earth from the latest & greatest chicken threat.,Windows,Free to try,Chicken Invaders 3 Easter Edition
1836,Learn and play the Age of Empires II.,Windows,Free to try,Age of Empires II Trial Version
1837,Discover a better place to play.,Windows,Free,Facebook Gameroom
1838,See if you can kick your way to the World Championships in this realistic Taekwondo video game.,Windows,Free to try,Tae Kwon Do World Champion
1839,Breed horses and win races.,Windows,Free to try,Horse Racing Manager demo
1840,Grab this file for a scenario that requires you to appease your thrill-seeking guests.,Windows,Free,Rollercoaster Tycoon 2 Thrill World Scenario
1841,Fall in love with The Sims FreePlay French Romance update.,iOS,Free,The Sims FreePlay
1842,Challenge an attractive chess maniac.,Windows,Free,Hotbabe Chess
1843,Check out the new look and feel of Microsoft Solitaire Collection on Windows 10.,Windows,Free,Microsoft Solitaire Collection for Windows 10
1844,Live the life of an LAPD SWAT officer as you rescue hostages and dole out justice.,Windows,Free to try,SWAT 3: Elite Edition Demo
1845,Update Emperor: Battle for Dune to version 1.09.,Windows,Free,Emperor: Battle for Dune 1.09 patch
1846,"Fight WWII enemies in a 3D environment with this graphically elegant, turn-based strategy game.",Windows,Free to try,Combat Mission updated demo
1847,Tile-matching solitaire with 3D layouts & many game types.,Mac,Free to try,Mah Jong Solitaire 2
1848,Reclaim human colonies from the Charva with an armed squad of genetically engineered soldiers.,Windows,Free to try,Expendable demo
1849,Travel through a strange land as a paintbrush-toting eyeball.,Windows,Free,Ocular Ink
1850,Swashbuckle your way through a 3D action-adventure world.,Windows,Free to try,The Elder Scrolls Adventures: Redguard demo
1851,Build and protect a town from many disasters.,Windows,Free,Disaster City
1852,Race a Dethkar high over futuristic Metro City.,Windows,Free to try,Dethkarz demo
1853,Modify your Half-Life game and enjoy a whole slew of new deathmatch features.,Windows,Free,Half-Life: Deathmatch Plus Mod
1854,Add the fully 3D Boca Juniors Stadium to your Pro Evolution Soccer 3 game.,Windows,Free,Pro Evolution Soccer 3 Boca Juniors Stadium
1855,"Fight, survive, and win victory over alien forces invading your planet.",Windows,Free to try,Phoenix Assault
1856,Choose what skills and abilities you will develop to voyage through a huge medieval fantasy world of dungeons and dragons.,Windows,Free to try,Neverwinter Nights
1857,Journey beyond the surface of reality in this RPG.,Windows,Free to try,Blue Ice demo
1858,Reprise your role as Gordon Freeman in a story set after the end of Half-Life.,Windows,Free,Deliverance: A Single-Player Episode for Half-Life
1859,Play this updated brick-busting game as you take on each of its many levels.,Windows,Free to try,Rebound Lost Worlds
1860,The invasion begins.,iOS,$2.99,Fieldrunners
1861,Remove all identical tiles from the game board.,Windows,Free,ClickPuzzle
1862,"Meet the cute and gooey Gruntz for a combination of action, strategy, and puzzle solving.",Windows,Free to try,Gruntz demo
1863,Fix bugs and add new enhnancements to Grand Prix 3.,Windows,Free,Grand Prix 3 patch 1 13
1864,"Battle against your friends or PC, which continually adjusts to your fighting style.",Windows,Free to try,Back Alley Brawl
1865,Play chess in the official online chess service of the U.S. Chess Federation.,Windows,Free,U.S. Chess Live
1866,Can you infect the world.,iOS,$0.99,Plague Inc.
1867,Investigate an old English castle and 12 suspects to solve this murder mystery.,Windows,Free to try,BeTrapped
1868,Play pool knocking balls around the table or against a friend on your Macintosh.,Mac,Free to try,Pool Shark
1869,Do you have what it takes to take care of your very own alien pet?,Android,Free,Pou
1870,Enter a medieval world of knights and castles during the Hundred Years' War.,Windows,Free to try,Castle Strike
1871,Take part in a terrifying journey into the dark corners of the human mind.,Mac,Free to try,Amnesia: The Dark Descent
1872,Take part in a terrifying journey into the dark corners of the human mind.,Mac,Free to try,Amnesia: The Dark Descent
1873,Avoid cops while collecting as many bottle caps as possible.,Windows,Free,Drunk-Man
1874,Shoot the bouncing balls to destroy them all.,Windows,Free,Bouncing Balls
1875,Get extreme action with this mod for Call of Duty.,Windows,Free,Call of Duty Extreme mod
1876,Ski down the hills helping a squirrel and avoiding rabbits.,Windows,Free,Sqrl Ski
1877,Play a 3D pool game.,Windows,Free,Free Billiards 2008
1878,Update any version of World of Warcraft to version 1.3.,Windows,Free,World of Warcraft 1.3 patch
1879,Take off for battle over the Pacific between American and Japanese forces.,Windows,Free to try,Pacific Warriors demodemo
1880,Update this third-person action title to version 1.1.,Windows,Free,Mafia 1.1 patch
1881,Flash back with some of Intellivision's greatest hits.,Mac,Free,Intellivision for Mac: Volume 1
1882,Slaughter the demon horde.,Windows,Free,Vampira
1883,Align similar bubbles to form large blocks of bubbles before bursting them.,Windows,Free,Bubble Breaker
1884,Revisit Duke Nukem 3D: Atomic Edition with this total conversion mod.,Windows,Free,Duke Nukem 3D: Atomic Edition Grins of Divinity mod
1885,Update Command & Conquer: Generals to version 1.06.,Windows,Free,Command & Conquer: Generals 1.06 patch
1886,Fly your fighter near river's bed and terminate all the enemies.,Windows,Free to try,River Raider 2
1887,"Hit moguls, jumps, and hairpin curves with a rush of racing adrenaline.",Windows,Free to try,Xpand Rally Xtreme demo
1888,Play a set of 15 solitaire games on your Mac.,Mac,Free to try,Classic Solitaire
1889,Play this colorful and realistic 3D graphic Mahjong game.,Windows,Free,Mahjong Champ 3D
1890,Get the platform jumping game for your iPhone.,iOS,$0.99,Doodle Jump for iPhone
1891,Play fighter game with large choice of characters and several game modes.,Windows,Free,Little Fighter 2 Night
1892,Play a 3D shooter game with different types of guns and ammo.,Windows,Free,Kill or Be Killed
1893,"Get more lives, money, and resources to make a game easier to win.",Windows,Free to try,ArtMoney Pro
1894,Design and manage a railroad virtually.,Windows,Free to try,Virtual Railroad Demo
1895,Get points by moving the pieces on the board so that they form a certain shape.,Windows,Free,Beshaped
1896,Get points by moving the pieces on the board so that they form a certain shape.,Windows,Free,Beshaped
1897,Fight your way through another horrific level and preview the Battle Out of Hell expansion.,Windows,Free to try,Painkiller demo 3
1898,Play games on your PC without inserting a single CD.,Windows,Free to try,Game Jackal
1899,Make the world turn faster with this patch.,Windows,Free,Civilization IV v1.61 patch
1900,Try out a soccer game with an emphasis on playability.,Windows,Free to try,Sensible Soccer '98 demo
1901,Fix major bugs in Risk Your Life and add new features.,Windows,Free to try,RYL2: Incomplete Union (MY) Patch
1902,Become an F-16 jet fighter pilot in a war in Korea.,Windows,Free to try,Falcon 4.0 demo download 2 of 2
1903,"Update Battle Realms Battle, UK Edition, from 1.10j to 1.50q.",Windows,Free,Battle Realms 1.10j to 1.50q English patch
1904,Enjoy a new kind of Mario game that you can play with one hand.,Android,Free,Super Mario Run
1905,Try both the spy and mercenary sides in the Mount Hospital level.,Windows,Free to try,Tom Clancy's Splinter Cell: Pandora Tomorrow multiplayer demo
1906,Play a football game for kids.,Windows,Free to try,Backyard Football 2002
1907,"Explore new coasts, establish settlements, and use diplomacy, trade, and battle to survive.",Windows,Free to try,1602 A.D.
1908,Keep water flowing down pipes and avoid spillage.,Windows,Free to try,Plummit
1909,Build towers to expand your influence in real-time competitions.,Windows,Free,Bontago
1910,Work against the clock to stop the release of a lethal virus in the latest stealth adventure.,Windows,Free to try,Tom Clancy's Rainbow Six: Lockdown
1911,Play the most popular poker game called Texas Holdem.,Windows,Free to try,3C Texas Poker
1912,Tool for cheating in computer games.,Mac,Free,The Cheat
1913,Play over two hundred card games.,Windows,Free,Patience
1914,Fight your way back from behind enemy lines in this small-squad Vietnam shooter.,Windows,Free to try,Conflict: Vietnam demo
1915,Explore infinite worlds and build everything from the simplest of homes to the grandest of castles.,Android,$6.99,Minecraft
1916,Catch a sneak peek at the action-adventure game Grand Theft Auto IV.,Windows,Free,Grand Theft Auto IV official trailer 1
1917,Guide your flock of incredibly dumb sheep to safety.,Windows,Free to try,Sheep demo
1918,Update your full version of this popular online shooter.,Mac,Free,Unreal Tournament 2003 Updator
1919,Engage in modern-day warfare in America's finest tank.,Windows,Free to try,iM1A2 Abrams demo
1920,first person shooter,Windows,Purchase,S.T.A.L.K.E.R. - Shadow of Chernobyl
1921,"Play Pool games including 8-Ball, 9-Ball, Rotation Ball, Snooker online.",Windows,Free to try,iPool
1922,Play a virtual fishing game.,Windows,Free to try,Real World Fly Fishing
1923,Defeat an evil dragon lurking within a nearby cave.,Windows,Free,HLA Adventure
1924,Play an animated 3D chess game against your computer or online opponents.,Windows,Free to try,Chess3D
1925,"Design, build, and texture your own mods for many popular action games.",Windows,Free,Softimage XSI Mod Tool
1926,Add new set items as well as saved characters who start with these new items to Diablo II.,Windows,Free,Diablo II Custom Items mod
1927,Save the earth from insane biomechanical robots.,Windows,Free to try,Bedlam demo
1928,Race cars fast and crash hard.,Windows,Free to try,Motorhead 3Dfx demo
1929,Play a real-time strategy game.,Mac,Free to try,Blizzard Warcraft III: Reign of Chaos
1930,Rotate your turrets and use all of your weapons strategically to defeat the other team.,Mac,Free,The Belt
1931,Hit some big league home runs with this sports game.,Windows,Free to try,Triple Play 98
1932,Build your world business empire as an arms dealer.,Windows,Free to try,Guns Girls Lawyers Dollars
1933,Play ball in this 3D baseball simulation.,Windows,Free to try,Triple Play 97 DOS demo
1934,Conquer the Caribbean and strike terror in the hearts of your enemies as a pirate.,Windows,Free to try,Cutthroats demo
1935,Balance the needs of diverse species to build a unique ecosystem.,Windows,Free to try,Wildlife Tycoon: Venture Africa
1936,"Play Bejeweled the worlds #1 puzzles game, connect three or more gems together to create a link.",Windows,Free,Bejeweled
1937,Find out what is unleashing monsters on Halloween Hill and put a stop to it.,Windows,Free to try,Loonyland: Halloween Hill
1938,Evil tiki bosses rule the land game.,Mac,Free to try,Zuma's Revenge
1939,Update this real-time strategy game.,Mac,Free,Command & Conquer 3: Tiberium Wars Patch
1940,Repel a Russian offensive during the end of WWII in this real-time strategy game.,Windows,Free to try,Rush for Berlin demo
1941,Update your version of the free first-person shooter from 1.07 to 1.08.,Windows,Free,F.E.A.R. Combat v1.07 to v1.08 patch
1942,Try two maps in the survival and team-survival game modes.,Windows,Free to try,Tom Clancy's Rainbow Six 3: Raven Shield multiplayer demo
1943,Owners of Unreal II can add new multiplayer features for free.,Windows,Free,Unreal II: The Awakening XMP full install
1944,Try the full Aces High II game for two weeks with this trial.,Windows,Free to try,Aces High II client
1945,Control a burning plasma ball and win.,Windows,Free to try,N-Ball
1946,Shoot down enemy spaceships.,Mac,Free,Maelstrom (OS X)
1947,Fight off an army of invading Easter Bunnies.,Windows,Free to try,Chicken Invaders 4 Easter
1948,Hear this choral arrangement that set the tone for the E3 2003 showing of Halo 2.,Windows,Free,Halo 2 Remembrance Music Track
1949,Fix bugs and add new features to Command & Conquer: Generals.,Windows,Free,Command & Conquer: Generals 1.05 patch
1950,"Crush your enemies by shooting powder bombs, dashed rockets, and ion-driven ball lightings.",Windows,Free to try,SeaWar: The Battleship 2
1951,Use angling prowess to catch the most bass and win the tournament.,Windows,Free to try,Bass Masters Classic: Tournament Edition
1952,Try a free logic game that's both relaxing and challenging.,Windows,Free,Snap
1953,Experience flying radio-controlled model planes and improve your skills.,Windows,Free to try,RC Plane Master
1954,Sexy Party Adult Board Game for Windows,Windows,Free to try,Sexy Party
1955,Engage in a physically grueling track-and-field competition.,Windows,Free to try,World Class Decathlon demo
1956,"Plunge into epic combat sequences, rendered in astonishingly lifelike detail.",Windows,Free,Shadow Fight 2 for Windows
1957,Play an advanced and customizable game of Hearts.,Mac,Free to try,Hearts
1958,Remove all cards from the play field to win.,Windows,Free to try,Fun-Towers
1959,Follow the progress of the Euro 2004 tournament in Portugal.,Windows,Free,UEFA Euro 2004 Euro Center
1960,Play a Dystopian Document Thriller Game.,Mac,Free,"Papers, Please"
1961,Control a stylized martial arts master in his way through strong opponents.,Mac,Free to try,Ragdoll Masters
1962,Destroy the asteroids before they reach the Earth in this 3D shooter.,Windows,Free to try,Close Approach
1963,Build up a colony and create enough soldiers to combat Morbus' dark tribe.,Windows,Free to try,Settlers IV demo
1964,"Recruit and assemble your own Ork Mob and beg, borrow, or steal parts and weapons for their battle vehicles.",Windows,Free to try,Gorkamorka demo
1965,"Watch, train, arrange fights, and become a boxing manager.",Windows,Free to try,Universal Boxing Manager
